model,acc_mean,acc_std,f1_mean,f1_std
TDA_multiscale(SVM),0.8316666666666667,0.05120763831912406,0.8107831864145154,0.05545907233758032
TDA_single(LogReg),0.8033333333333331,0.05835713800003864,0.7775304312531791,0.06398071206353752
Baseline(LogReg),0.7716666666666667,0.061824123303304675,0.7353285510172501,0.07306312899111322
