dataset,model,acc_mean,acc_std,acc_se,f1_mean,f1_std,f1_se,n_folds_total
GunPoint,TDA_multiscale(SVM),0.9616666666666666,0.029680841985233172,0.007663560447348131,0.9616217842918741,0.0297308836374606,0.007676481146394366,15
GunPoint,TDA_single(LogReg),0.9366666666666666,0.0364332396635401,0.009407022031018286,0.9365476386400649,0.03653554725776013,0.009433437738258601,15
GunPoint,Baseline(LogReg),0.9133333333333334,0.039940431835899015,0.010312575156051294,0.9131322782987111,0.040018666040284485,0.010332775140763875,15
